termino,BuenosAires,CABA,Catamarca,Chaco,Chubut,Cordoba,Corrientes,EntreRios,Formosa,LaPampa,LaRioja,Mendoza,MisionesII,Neuquen,RioNegro,Salta,SanJuan,SanLuisV,SantaCruz,SantaFe,SantiagoDelEstero,TierraDelFuego,Tucuman
tributaria,0,1,1,2,0,5,0,0,1,0,1,2,3,5,3,0,2,0,3,0,1,0,0
terreno,2,0,14,1,0,2,4,31,0,0,15,0,4,4,0,8,0,3,0,0,9,0,5
registral,2,0,0,1,1,1,0,9,2,0,1,0,1,6,5,0,0,0,5,1,1,0,0
registradas,0,1,2,2,0,1,0,19,1,0,0,0,0,2,2,0,2,1,2,0,2,1,0
profesion,1,0,3,1,0,0,0,1,0,1,2,0,1,0,2,3,1,0,2,0,1,2,0
poseedores,3,0,5,0,0,4,1,5,5,3,7,0,0,5,3,1,0,0,4,0,3,0,0
personas,4,0,2,0,0,1,0,5,0,0,6,0,1,1,1,7,1,0,1,0,1,0,1
ministerio,0,1,0,2,0,0,0,6,0,1,4,3,1,0,2,6,2,0,0,1,1,0,1
instalaciones,12,0,2,0,0,2,1,3,4,0,1,0,0,7,4,2,1,0,5,0,2,0,0
hechos,3,0,1,3,0,1,1,10,0,1,5,0,0,0,0,1,1,0,0,0,3,2,5
geodesicos,1,0,3,1,0,0,0,0,3,1,1,0,1,3,2,2,2,0,1,0,4,0,0
economico,2,0,1,1,0,0,0,1,2,0,3,0,4,1,1,4,3,0,1,0,1,0,0
economicas,2,0,1,0,0,2,0,6,0,2,1,0,1,1,1,2,0,0,0,1,2,2,0
contribuyentes,1,0,0,0,0,2,1,0,1,3,2,0,0,1,1,1,0,0,1,0,1,1,4
cercos,1,1,1,1,0,0,1,0,2,0,2,0,2,1,1,1,0,0,1,0,1,0,0
agrimensor,3,0,40,0,0,0,0,9,0,6,32,0,1,2,4,4,2,1,4,0,0,9,0
unificacion,0,0,0,1,0,2,3,2,1,0,2,0,2,2,1,1,0,0,1,0,2,0,0
relevamiento,24,0,4,0,0,0,0,11,0,1,2,0,12,0,0,1,1,1,0,3,1,0,9
pueblos,1,0,0,0,0,0,0,2,1,0,1,0,2,1,1,5,0,0,1,1,1,0,2
poligono,0,0,1,2,0,0,0,45,2,1,1,0,0,2,1,1,2,0,0,0,1,0,2
planta,11,1,0,0,1,0,2,64,0,10,0,1,10,1,0,8,0,0,0,0,5,0,5
localizacion,2,0,1,0,0,0,0,7,2,0,2,0,1,2,1,1,1,0,1,0,1,0,0
hipoteca,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,5,0,0,2,0,2,2,0
fotogrametricos,1,0,1,1,3,0,0,0,1,0,0,0,1,1,1,0,1,0,1,2,2,0,0
economica,0,0,1,0,0,0,0,18,0,1,5,0,6,2,3,3,0,0,1,1,1,0,1
divisiones,1,0,0,1,1,0,0,1,0,0,6,0,0,1,1,4,1,0,1,0,0,1,3
cultivos,0,0,3,1,0,0,2,0,2,1,2,0,0,2,4,2,0,0,4,0,1,0,1
copropiedad,1,0,1,0,1,0,0,4,1,3,0,0,1,1,1,0,0,0,1,0,1,1,0
ciudades,1,0,1,0,0,0,0,2,1,0,1,0,1,1,1,3,0,0,1,1,1,0,0
cartografica,0,0,1,1,0,0,0,0,5,1,1,0,1,2,1,0,1,0,1,1,2,0,0
agrimensores,2,0,7,4,0,0,0,2,0,3,30,0,0,0,1,2,0,1,2,0,0,2,3
accesiones,12,1,0,0,0,1,1,0,9,8,0,0,3,12,5,1,0,0,4,0,2,0,0
vinculacion,0,0,0,0,1,1,0,5,0,2,4,0,1,0,0,3,3,0,0,0,1,1,2
urbano,1,1,0,0,0,1,0,2,2,0,0,0,1,2,0,0,1,0,1,0,3,0,1
suburbanas,2,0,2,0,0,0,0,0,0,6,25,0,3,0,1,4,0,0,1,0,4,1,8
registrara,2,0,1,1,0,0,0,4,1,0,0,0,0,2,2,1,1,0,2,0,2,0,0
quintas,0,0,0,0,1,0,1,3,1,0,0,0,1,1,1,11,0,0,1,0,1,0,5
nacionales,0,0,2,1,0,0,0,2,1,1,3,0,2,1,2,2,0,0,3,0,0,0,0
juez,1,0,0,0,0,0,0,13,1,0,2,0,1,1,1,6,0,0,0,0,1,1,1
jueces,2,0,0,0,0,0,0,2,3,1,5,0,0,1,1,3,0,0,1,0,2,1,0
infraestructura,1,2,0,0,0,3,0,3,1,0,0,0,2,1,1,0,0,2,3,0,2,0,0
graficos,0,0,6,2,0,0,1,4,1,0,2,0,0,2,2,0,1,0,1,0,1,0,0
expropiacion,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,5,0,0,0,0,2,0,1
control,0,0,3,2,0,11,1,5,2,0,0,0,0,1,2,0,0,0,1,0,2,1,0
avaluos,1,0,4,1,0,0,0,0,1,0,0,0,0,1,1,2,1,0,1,1,4,0,0
afectacion,1,0,1,1,1,8,0,7,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
tierras,0,0,9,0,0,0,0,7,1,1,5,0,1,0,0,3,0,20,0,1,5,0,0
tasas,0,0,0,1,2,0,0,1,0,0,1,0,2,0,3,5,0,0,1,1,1,0,0
suburbanos,1,0,1,0,0,0,0,0,0,2,2,0,1,0,3,1,0,0,3,0,4,0,3
suburbana,2,0,0,0,0,0,1,0,0,2,0,0,3,0,2,1,0,0,2,2,1,0,2
subrurales,4,0,6,0,1,0,5,3,0,6,0,0,0,0,4,7,0,0,4,0,6,0,0
servidumbre,1,0,0,0,0,0,0,14,1,0,0,0,1,1,1,1,0,0,1,0,2,0,1
metros,9,0,1,0,0,0,0,12,1,0,3,0,0,1,1,11,0,0,1,0,2,0,0
medida,0,0,0,0,1,2,1,21,0,0,8,0,0,0,2,1,0,0,1,0,2,0,2
matricula,0,1,17,2,0,0,0,8,0,1,9,0,2,0,0,0,0,0,0,0,9,4,1
manzanas,1,0,0,0,1,0,1,18,0,0,3,0,1,0,0,14,0,0,0,0,2,1,11
lineas,0,0,1,0,0,1,1,30,0,0,2,0,1,0,0,3,0,0,0,1,2,0,3
legitimo,2,0,4,0,0,0,0,3,1,0,1,0,2,2,2,0,0,0,2,0,6,0,0
industriales,1,0,2,0,0,2,0,2,1,0,2,0,0,1,0,0,0,1,0,1,1,0,0
incumbencia,3,2,0,1,0,1,0,0,1,0,0,0,2,2,1,0,0,2,2,0,0,0,0
impositiva,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1
habilitacion,2,0,2,0,0,1,0,4,1,1,0,0,1,2,0,0,0,0,0,0,4,1,0
grafica,3,0,0,0,0,0,1,5,1,1,2,0,1,1,0,1,0,0,0,0,2,0,0
fraccionamiento,3,0,0,0,0,2,1,24,0,3,4,0,2,0,0,11,0,0,0,0,4,0,7
estadistica,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,1,0,2,0,1
edificio,0,0,3,0,1,0,0,50,1,0,7,0,2,1,0,0,0,0,0,0,2,1,4
edificacion,8,0,1,0,0,3,0,15,0,0,1,0,0,1,1,0,0,0,1,0,1,0,3
dominiales,1,0,0,0,0,1,0,2,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
comercial,5,0,0,0,0,2,1,10,1,0,5,0,0,1,0,1,0,0,0,0,2,0,1
chacras,1,0,0,0,1,0,1,3,1,0,0,0,0,1,1,7,0,0,1,0,1,0,0
vivienda,0,1,1,0,0,2,1,8,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0
villas,1,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,1,0,4
usucapion,0,0,0,0,0,3,0,2,1,0,1,0,1,2,0,0,0,0,0,1,1,1,0
renta,1,0,0,1,0,0,2,0,1,2,12,0,0,2,0,6,0,0,0,0,0,0,3
poblacion,0,1,1,0,0,0,0,6,1,0,0,0,0,1,1,8,0,0,1,0,0,0,2
plantaciones,5,0,0,0,0,0,0,1,5,0,6,0,1,4,3,1,0,0,3,0,0,0,0
planimetrica,1,0,0,1,0,0,0,0,1,0,2,0,1,1,1,0,0,0,1,0,1,0,0
municipio,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,4,0,1,0,0,0,1,5
mensurado,0,1,1,0,0,0,0,1,1,0,0,0,1,3,3,0,0,0,3,0,2,0,0
manzana,1,0,1,0,0,0,0,7,0,1,3,0,0,2,0,13,0,0,0,0,1,0,5
lotes,0,0,1,0,0,0,4,22,0,0,4,0,1,1,0,14,0,0,0,0,1,0,14
lote,1,0,2,0,0,0,2,3,1,2,0,0,0,1,0,4,0,0,0,0,0,0,2
ingeniero,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,4,2,0,2,0,0,3,0
hectareas,5,0,0,0,0,1,0,10,0,5,2,0,2,0,0,4,0,0,0,0,3,0,1
gravamenes,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,6,0,1,0,0,2,1,0
edificados,7,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0
edificaciones,3,0,0,0,0,0,1,1,6,0,3,0,2,5,4,0,0,0,4,0,0,0,0
comerciales,3,0,2,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0
baldios,3,1,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,1,0,1,0,0
areas,2,0,0,0,2,0,0,22,1,0,1,0,3,1,2,0,0,0,0,0,1,0,0
tributario,1,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0
subdivision,1,0,0,2,0,3,6,82,0,0,0,0,2,0,0,8,0,0,0,0,0,0,3
revaluo,1,0,0,0,0,6,0,0,0,2,2,0,1,0,0,1,0,0,0,0,2,0,1
registrales,1,0,0,1,0,2,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,0,0
metro,4,0,5,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
medir,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
medicion,0,0,0,1,0,1,0,20,0,0,2,0,0,0,0,2,1,0,0,0,1,0,10
matriculacion,1,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,8,2,0
impuestos,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,8,0,0,0,0,1,0,1
imponible,1,1,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0
geografico,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,1,0,2,4
geografica,1,0,0,0,0,0,0,0,2,0,1,0,1,2,2,2,0,0,2,0,0,0,0
fracciones,0,0,0,0,1,0,1,26,0,0,2,0,0,0,0,6,0,0,0,0,1,1,4
deslinde,0,0,1,0,0,0,0,13,0,0,5,0,0,0,0,6,1,1,0,0,2,0,1
deslindada,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
cartas,0,0,15,2,0,0,0,0,1,0,0,0,0,2,1,0,3,0,1,0,2,0,0
carta,0,0,3,1,0,0,0,0,2,2,3,0,0,1,0,1,0,0,0,0,1,0,0
afectaciones,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,0,0
valuatorio,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
valuatoria,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
transmisiones,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,2,1,0
subrural,3,0,1,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,1,0,2,0,0
saneamiento,0,0,2,0,0,3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0
rios,0,0,1,1,0,0,0,16,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1
mineras,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,1,0,3,0,0
inmobiliarias,3,0,1,0,0,2,0,0,0,2,0,0,1,0,0,2,0,0,0,0,2,0,0
impositivos,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,2
geometrico,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,4,1,0,0,1,0,0,0
geograficos,0,1,0,0,0,0,1,0,2,0,1,0,0,2,1,0,0,0,1,0,0,0,0
fraccionamientos,0,0,1,0,1,4,0,21,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2
escritura,0,0,0,1,0,1,1,9,0,0,4,0,0,0,0,6,0,0,0,0,0,0,3
deslindes,0,0,0,0,0,1,1,3,1,0,11,0,0,0,0,4,0,0,0,0,0,1,0
amojonamiento,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,3,0,2,0,0,2,0,1
zonificacion,1,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0
triangulacion,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,2,1
topografia,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,4
terrenos,0,0,2,0,0,0,0,10,0,0,9,0,0,0,0,10,0,0,0,0,3,0,1
subparcelas,0,0,0,0,0,16,0,0,1,1,0,0,0,2,6,0,0,0,5,0,0,0,0
revaluacion,6,0,0,0,0,0,1,1,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0
residenciales,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0
parcelarias,1,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0
padrones,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,4
ocupante,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0
ocupacion,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0
mapa,0,0,0,1,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,4,0,0
industrial,0,0,0,0,0,0,1,4,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0
geodesico,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3,1,0,0,0,0,0
geodesia,3,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,13,0,0,0,0,0,4
edilicias,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,3,2,0,0,0
edificadas,2,0,0,0,0,2,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2
demarcacion,0,0,2,0,0,1,0,2,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0
subparcela,0,0,0,0,0,5,0,0,0,2,0,0,0,1,4,0,0,0,2,0,0,0,0
semicubiertas,0,0,0,0,0,0,0,18,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
riquezas,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
rio,0,0,0,1,0,0,0,8,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0
quinta,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5
profesiones,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
posea,3,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
municipalidad,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,7,0,0,0,0,1,0,0
multiplicidad,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
metrico,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0
matriculas,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
marcacion,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0
longitud,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0
lindero,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0
limite,0,0,0,1,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2
ingenieros,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,3
